eventId,sourceSymbol,eventDate,mappedCik,mappingConfidence,companyName,datasetOrigin,actorFamily,stage2SealRole,trainingEligible,windowStart,windowEnd,edgarLogAvailable
CONTROL_FILING_ALIGNED_SURGE_CONTROL_EA_20110505,EA,2011-05-05,712515,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2011-04-25,2011-05-10,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_EVGO_20231108,EVGO,2023-11-08,1821159,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-10-29,2023-11-13,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_EVGO_20250506,EVGO,2025-05-06,1821159,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2025-04-26,2025-05-11,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_FDX_20200318,FDX,2020-03-18,1048911,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-03-08,2020-03-23,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_FDX_20220614,FDX,2022-06-14,1048911,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2022-06-04,2022-06-19,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_FSLR_20071106,FSLR,2007-11-06,1274494,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-10-27,2007-11-11,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_FSLR_20081030,FSLR,2008-10-30,1274494,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-10-20,2008-11-04,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GEGP_20180601,GEGP,2018-06-01,1081188,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2018-05-22,2018-06-06,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GEGP_20251125,GEGP,2025-11-25,1081188,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2025-11-15,2025-11-30,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GEVI_20060816,GEVI,2006-08-16,894556,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2006-08-06,2006-08-21,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GEVI_20211006,GEVI,2021-10-06,894556,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-09-26,2021-10-11,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GE_20020729,GE,2002-07-29,40545,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2002-07-19,2002-08-03,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GE_20090310,GE,2009-03-10,40545,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-02-28,2009-03-15,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GHST_20240212,GHST,2024-02-12,1121795,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2024-02-02,2024-02-17,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GILD_20121112,GILD,2012-11-12,882095,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2012-11-02,2012-11-17,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GILD_20200224,GILD,2020-02-24,882095,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-02-14,2020-02-29,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GM_20111004,GM,2011-10-04,1467858,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2011-09-24,2011-10-09,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GM_20121219,GM,2012-12-19,1467858,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2012-12-09,2012-12-24,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_GTLL_20211117,GTLL,2021-11-17,932021,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-11-07,2021-11-22,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HAS_20061023,HAS,2006-10-23,46080,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2006-10-13,2006-10-28,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HAS_20100208,HAS,2010-02-08,46080,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2010-01-29,2010-02-13,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HLF_20050802,HLF,2005-08-02,1180262,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2005-07-23,2005-08-07,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HLF_20060504,HLF,2006-05-04,1180262,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2006-04-24,2006-05-09,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HMBL_20060815,HMBL,2006-08-15,1119190,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2006-08-05,2006-08-20,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HMBL_20230206,HMBL,2023-02-06,1119190,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-01-27,2023-02-11,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HOG_20080716,HOG,2008-07-16,793952,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-07-06,2008-07-21,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_HOG_20160701,HOG,2016-07-01,793952,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2016-06-21,2016-07-06,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_IBM_19961115,IBM,1996-11-15,51143,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,1996-11-05,1996-11-20,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_IBM_19970424,IBM,1997-04-24,51143,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,1997-04-14,1997-04-29,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_IGC_20080521,IGC,2008-05-21,1326205,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-05-11,2008-05-26,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_IGC_20130207,IGC,2013-02-07,1326205,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2013-01-28,2013-02-12,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ILUS_20250402,ILUS,2025-04-02,1496383,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2025-03-23,2025-04-07,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_INO_20090729,INO,2009-07-29,1055726,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-07-19,2009-08-03,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_INO_20150316,INO,2015-03-16,1055726,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2015-03-06,2015-03-21,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_IP_19970708,IP,1997-07-08,51434,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,1997-06-28,1997-07-13,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_IP_20001018,IP,2000-10-18,51434,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2000-10-08,2000-10-23,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LKNCY_20201217,LKNCY,2020-12-17,1767582,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-12-07,2020-12-22,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LKNCY_20210630,LKNCY,2021-06-30,1767582,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-06-20,2021-07-05,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LLY_20230808,LLY,2023-08-08,59478,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-07-29,2023-08-13,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LLY_20240205,LLY,2024-02-05,59478,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2024-01-26,2024-02-10,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LNG_19980713,LNG,1998-07-13,3570,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,1998-07-03,1998-07-18,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LNG_20030509,LNG,2003-05-09,3570,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2003-04-29,2003-05-14,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LUV_20091204,LUV,2009-12-04,92380,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-11-24,2009-12-09,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_LUV_20200518,LUV,2020-05-18,92380,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-05-08,2020-05-23,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_META_20130725,META,2013-07-25,1326801,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2013-07-15,2013-07-30,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_META_20140130,META,2014-01-30,1326801,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2014-01-20,2014-02-04,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_MGTI_20041029,MGTI,2004-10-29,1001601,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2004-10-19,2004-11-03,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_MGTI_20070613,MGTI,2007-06-13,1001601,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-06-03,2007-06-18,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_NNOX_20220331,NNOX,2022-03-31,1795251,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2022-03-21,2022-04-05,1
